file,il,tam_cumle,istisna_var_mi,hayvan_turleri,source_line
webimar-nextjs/data/100binlik/adıyaman-şanlıurfa-diyarbakır.txt,Adıyaman,"Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde, hayvancılık tesisi yapılmasına izin verilmez.",hayır,,58
webimar-nextjs/data/100binlik/adıyaman-şanlıurfa-diyarbakır.txt,Adıyaman,"Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde, hayvancılık tesisi yapılmasına izin verilmez.",hayır,,58
webimar-nextjs/data/100binlik/mardin-batman-şırnak-siirt-hakkari.txt,Mardin,"maddesi kapsamında kalan hayvancılık amaçlı yapılar hariç, hayvancılık tesisi yapılmasına izin verilmez.",hayır,,52
webimar-nextjs/data/100binlik/ardahan-kars-ığdır-ağrı.txt,Ardahan,Organize Tarım/Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,hayır,,69
webimar-nextjs/data/100binlik/ardahan-kars-ığdır-ağrı.txt,Ardahan,Organize Tarım/Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,hayır,,69
100binlik/adıyaman-şanlıurfa-diyarbakır.txt,Adıyaman,"Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde, hayvancılık tesisi yapılmasına izin verilmez.",hayır,,58
100binlik/adıyaman-şanlıurfa-diyarbakır.txt,Adıyaman,"Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde, hayvancılık tesisi yapılmasına izin verilmez.",hayır,,58
100binlik/mardin-batman-şırnak-siirt-hakkari.txt,Mardin,"maddesi kapsamında kalan hayvancılık amaçlı yapılar hariç, hayvancılık tesisi yapılmasına izin verilmez.",hayır,,52
100binlik/ardahan-kars-ığdır-ağrı.txt,Ardahan,Organize Tarım/Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,hayır,,69
100binlik/ardahan-kars-ığdır-ağrı.txt,Ardahan,Organize Tarım/Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,hayır,,69
