province,district,area_type,prohibition_sentence,madde_numarasi,source_file
Adıyaman,şanlıurfa,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,"Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde, hayvancılık tesisi yapılmasına izin verilmez.",5.2.7.,100binlik/adıyaman-şanlıurfa-diyarbakır.txt
Adıyaman,şanlıurfa,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,"Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde, hayvancılık tesisi yapılmasına izin verilmez.",5.2.7.,100binlik/adıyaman-şanlıurfa-diyarbakır.txt
Adıyaman,şanlıurfa,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,"Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde, hayvancılık tesisi yapılmasına izin verilmez.",5.2.7.,100binlik/adıyaman-şanlıurfa-diyarbakır.txt
Adıyaman,şanlıurfa,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,5.2.7.,100binlik/adıyaman-şanlıurfa-diyarbakır.txt
Adıyaman,şanlıurfa,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,5.2.7.,100binlik/adıyaman-şanlıurfa-diyarbakır.txt
Adıyaman,şanlıurfa,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,5.2.7.,100binlik/adıyaman-şanlıurfa-diyarbakır.txt
Mardin,batman,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,100binlik/mardin-batman-şırnak-siirt-hakkari.txt
Mardin,batman,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,100binlik/mardin-batman-şırnak-siirt-hakkari.txt
Mardin,batman,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,100binlik/mardin-batman-şırnak-siirt-hakkari.txt
Ardahan,kars,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,Organize Tarım/Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,100binlik/ardahan-kars-ığdır-ağrı.txt
Ardahan,kars,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,Organize Tarım/Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,100binlik/ardahan-kars-ığdır-ağrı.txt
Ardahan,kars,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,100binlik/ardahan-kars-ığdır-ağrı.txt
Ardahan,kars,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,100binlik/ardahan-kars-ığdır-ağrı.txt
Ardahan,kars,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,100binlik/ardahan-kars-ığdır-ağrı.txt
İzmir,,Koruma/Koruma Alanları;Mutlak Tarım Arazileri;Sulama Alanları,Kısa Mesafeli Koruma Alanı (300-1000 Metre) 2- Bu alanlarda hayvancılığa izin verilmez.,7.38.9.2.17.1.3.,25binlik/izmir.txt
İzmir,,Koruma/Koruma Alanları,2- Bu alanlarda hayvancılığa izin verilmez.,,25binlik/izmir.txt
İzmir,,Koruma/Koruma Alanları,2- Bu alanlarda hayvancılığa izin verilmez. Ekolojik tarıma sözleşmeli olması koşulu ile izin verilir.,,25binlik/izmir.txt
Adıyaman,şanlıurfa,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,"Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde, hayvancılık tesisi yapılmasına izin verilmez.",5.2.7.,webimar-nextjs/data/100binlik/adıyaman-şanlıurfa-diyarbakır.txt
Adıyaman,şanlıurfa,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,"Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde, hayvancılık tesisi yapılmasına izin verilmez.",5.2.7.,webimar-nextjs/data/100binlik/adıyaman-şanlıurfa-diyarbakır.txt
Adıyaman,şanlıurfa,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,"Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde, hayvancılık tesisi yapılmasına izin verilmez.",5.2.7.,webimar-nextjs/data/100binlik/adıyaman-şanlıurfa-diyarbakır.txt
Adıyaman,şanlıurfa,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,5.2.7.,webimar-nextjs/data/100binlik/adıyaman-şanlıurfa-diyarbakır.txt
Adıyaman,şanlıurfa,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,5.2.7.,webimar-nextjs/data/100binlik/adıyaman-şanlıurfa-diyarbakır.txt
Adıyaman,şanlıurfa,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,5.2.7.,webimar-nextjs/data/100binlik/adıyaman-şanlıurfa-diyarbakır.txt
Mardin,batman,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,webimar-nextjs/data/100binlik/mardin-batman-şırnak-siirt-hakkari.txt
Mardin,batman,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,webimar-nextjs/data/100binlik/mardin-batman-şırnak-siirt-hakkari.txt
Mardin,batman,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,webimar-nextjs/data/100binlik/mardin-batman-şırnak-siirt-hakkari.txt
Ardahan,kars,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,Organize Tarım/Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,webimar-nextjs/data/100binlik/ardahan-kars-ığdır-ağrı.txt
Ardahan,kars,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,Organize Tarım/Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,webimar-nextjs/data/100binlik/ardahan-kars-ığdır-ağrı.txt
Ardahan,kars,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,webimar-nextjs/data/100binlik/ardahan-kars-ığdır-ağrı.txt
Ardahan,kars,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,webimar-nextjs/data/100binlik/ardahan-kars-ığdır-ağrı.txt
Ardahan,kars,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez.,8.3.7.,webimar-nextjs/data/100binlik/ardahan-kars-ığdır-ağrı.txt
